p,K,K_index,direction,restart_id,init_mode,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,warm_won
0.0,6.0,8,up,3,random,130802.0,1.0001116207201053,0.999999999999998,0.0111620720107397,0.999994887502966,-3.178877725702724e-16,4000,False,True,False,False,True
0.0,6.25,9,up,0,warm,,1.0000002829066044,1.0000000000000062,2.8290659814800102e-05,0.9999999820227132,-3.148523108380917e-16,202,True,False,False,True,True
0.0,6.25,9,up,1,random,130900.0,1.0005191077051685,1.0000000000000062,0.0519107705162277,0.9999777249441396,1.57426678223043e-16,4000,False,True,False,False,True
0.0,6.25,9,up,2,random,130901.0,1.0000067588994654,1.0000000000000062,0.0006758899459224,0.9999995769121116,-1.0364975757151416e-16,4000,False,True,False,False,True
0.0,6.25,9,up,3,random,130902.0,1.0000030874151524,1.0000000000000062,0.0003087415146207,0.9999998535034378,-1.7195446307761578e-15,3833,True,False,False,False,True
0.0,6.5,10,up,0,warm,,1.000000275082871,1.0000000000000075,2.7508286337685e-05,0.9999999852806538,5.0306980725779316e-17,200,True,False,False,True,True
0.0,6.5,10,up,1,random,131000.0,1.0002565825188638,1.0000000000000075,0.0256582518856294,0.9999948462933008,-9.471590157119884e-16,4000,False,True,False,False,True
0.0,6.5,10,up,2,random,131001.0,1.0012683167335152,1.0000000000000075,0.1268316733507681,0.9999263333696669,6.77843304117056e-16,4000,False,True,False,False,True
0.0,6.5,10,up,3,random,131002.0,1.001027476293332,1.0000000000000075,0.1027476293324439,0.9999632141823226,2.9490287919497567e-16,4000,False,True,False,False,True
0.0,6.75,11,up,0,warm,,1.000000248665282,1.0000000000000249,2.48665257274177e-05,0.999999988208236,-4.518954654919585e-16,202,True,False,False,True,True
0.0,6.75,11,up,1,random,131100.0,1.0000122303958374,1.0000000000000249,0.0012230395812551,0.9999997434115726,1.5048726154098826e-16,4000,False,True,False,False,True
0.0,6.75,11,up,2,random,131101.0,1.0006923618081291,1.0000000000000249,0.0692361808104263,0.9999679880856078,-3.625600652129267e-16,4000,False,True,False,False,True
0.0,6.75,11,up,3,random,131102.0,1.0000300116359822,1.0000000000000249,0.0030011635957282,0.9999992174400232,-4.137315444709753e-16,4000,False,True,False,False,True
0.0,7.0,12,up,0,warm,,1.0000002441633642,1.0000000000000149,2.4416334953869164e-05,0.9999999899278512,-2.9707139537735074e-16,198,True,False,False,True,True
0.0,7.0,12,up,1,random,131200.0,1.0003321282616553,1.0000000000000149,0.0332128261640635,0.9999908434839268,-5.4643758060418707e-17,4000,False,True,False,False,True
0.0,7.0,12,up,2,random,131201.0,1.000241156164023,1.0000000000000149,0.0241156164008323,0.9999895315159558,-3.417407067471661e-16,4000,False,True,False,False,True
0.0,7.0,12,up,3,random,131202.0,1.00060745327323,1.0000000000000149,0.0607453273215421,0.9999758441917168,-7.203434204735573e-16,4000,False,True,False,False,True
0.0,7.0,12,down,0,random,150000,1.0001356897673057,1.0000000000000147,0.013568976729105644,0.9999960768888927,-9.814197709651174e-16,4000,False,True,False,False,
0.0,7.0,12,down,1,random,150001,1.0000543069230063,1.0000000000000147,0.005430692299168626,0.9999977233651094,2.072994024396693e-16,4000,False,True,False,False,
0.0,7.0,12,down,2,random,150002,1.0000038928052106,1.0000000000000147,0.00038928051959707374,0.9999997782041069,-2.7191789896570324e-16,3532,True,False,False,False,
0.0,7.0,12,down,3,random,150003,1.0000117445567043,1.0000000000000147,0.0011744556689618872,0.9999995391472395,-5.637851415314849e-16,3855,True,False,False,False,
0.0,7.0,12,down,4,random,150004,1.0000793930828094,1.0000000000000147,0.007939308279469754,0.9999972848684467,-8.595554906183142e-16,4000,False,True,False,False,
0.0,7.0,12,down,5,random,150005,1.0001494305367513,1.0000000000000147,0.014943053673665887,0.9999959547072893,-1.7260496104427383e-16,4000,False,True,False,False,
0.0,7.0,12,down,6,random,150006,1.0000014732579836,1.0000000000000147,0.0001473257968953568,0.9999999225431289,-4.4669129403005366e-17,3133,True,False,False,False,
0.0,7.0,12,down,7,random,150007,1.0000010327727165,1.0000000000000147,0.00010327727018033377,0.9999999529077725,2.8839777870832504e-16,2789,True,False,False,True,
0.0,6.75,11,down,0,warm,,1.0000008631151662,1.0000000000000249,8.631151413584843e-05,0.9999999573320153,7.042977290752352e-16,193,True,False,False,False,False
0.0,6.75,11,down,1,random,150100,1.000000283156258,1.0000000000000249,2.8315623312735033e-05,0.999999987626265,-2.9793875669528614e-16,1729,True,False,False,True,False
0.0,6.75,11,down,2,random,150101,1.0000013396538112,1.0000000000000249,0.000133965378634745,0.9999999640106947,-1.1366775595595835e-15,3107,True,False,False,False,False
0.0,6.75,11,down,3,random,150102,1.0000003783338902,1.0000000000000249,3.783338653473484e-05,0.9999999861572425,-5.169475957893902e-16,1961,True,False,False,False,False
0.0,6.5,10,down,0,warm,,1.0000000520416306,1.0000000000000075,5.204162301097842e-06,0.9999999961129729,-9.397864431912156e-16,251,True,False,False,True,True
0.0,6.5,10,down,1,random,150200,1.000000127643914,1.0000000000000075,1.2764390655561802e-05,0.9999999942737469,-1.0534108307158315e-15,894,True,False,False,False,True
0.0,6.5,10,down,2,random,150201,1.0001841582171218,1.0000000000000075,0.018415821711425945,0.9999925416602231,-8.521828943387047e-16,4000,False,True,False,False,True
0.0,6.5,10,down,3,random,150202,1.0000155536900546,1.0000000000000075,0.0015553690047020888,0.9999995725398656,6.678685391041011e-16,4000,False,True,False,False,True
0.0,6.25,9,down,0,warm,,1.0000000237035966,1.0000000000000062,2.3703590423806838e-06,0.9999999972789098,-1.871332949894159e-15,219,True,False,False,True,True
0.0,6.25,9,down,1,random,150300,1.0000014011474896,1.0000000000000062,0.00014011474833708262,0.9999999000721647,5.464378930198393e-16,3445,True,False,False,False,True
0.0,6.25,9,down,2,random,150301,1.000001126621612,1.0000000000000062,0.00011266216057847985,0.9999999417885965,-4.445228893231897e-16,3535,True,False,False,False,True
