p,K,K_index,run_tag,restart,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.0,5.25,5,dense8,4,90005,-1.5599908140364858,-1.5660396848763014,0.386252717490581,0.9998737605408952,-4.844215306665238e-16,2000,False,True,False,True,434.8067131042481
0.0,5.25,5,dense8,5,90005,-1.5571914107579414,-1.5660396848763014,0.5650095718397383,,,2000,False,True,False,False,434.8067131042481
0.0,5.25,5,dense8,6,90005,1.001056787806289,-1.5660396848763014,163.92282376198918,,,2000,False,True,False,False,434.8067131042481
0.0,5.25,5,dense8,7,90005,1.0000142703203507,-1.5660396848763014,163.85625345115952,,,2000,False,True,False,False,434.8067131042481
0.0,4.5,2,dense8,0,90002,-7.552719675950814,-7.566039684876367,0.1760499479295371,,,2000,False,True,False,False,439.9526293277741
0.0,4.5,2,dense8,1,90002,-2.658422972432138,-7.566039684876367,64.86374532576116,,,2000,False,True,False,False,439.9526293277741
0.0,4.5,2,dense8,2,90002,-5.532799437364664,-7.566039684876367,26.87324323154045,,,2000,False,True,False,False,439.9526293277741
0.0,4.5,2,dense8,3,90002,1.0000617340172084,-7.566039684876367,113.2177701369478,,,2000,False,True,False,False,439.9526293277741
0.0,4.5,2,dense8,4,90002,-6.546821833436706,-7.566039684876367,13.470955663594513,,,2000,False,True,False,False,439.9526293277741
0.0,4.5,2,dense8,5,90002,-6.994388415863491,-7.566039684876367,7.555488641640889,,,2000,False,True,False,False,439.9526293277741
0.0,4.5,2,dense8,6,90002,-7.557516337167271,-7.566039684876367,0.1126526963126249,,,2000,False,True,False,False,439.9526293277741
0.0,4.5,2,dense8,7,90002,-7.559985065850175,-7.566039684876367,0.080023622375314,0.9998739528552996,-2.935477380970528e-16,2000,False,True,False,True,439.9526293277741
0.0,5.5,6,basin64,0,110006,0.6076015651083857,0.43396031512367017,40.01316340072045,,,4000,False,True,False,False,3473.8809037208557
0.0,5.5,6,basin64,1,110006,1.000000786725671,0.43396031512367017,130.43599884028347,,,1895,True,False,False,False,3473.8809037208557
0.0,5.5,6,basin64,2,110006,0.4503393212368398,0.43396031512367017,3.7743096643530456,,,4000,False,True,False,False,3473.8809037208557
0.0,5.5,6,basin64,3,110006,1.000539916180454,0.43396031512367017,130.56023357696193,,,4000,False,True,False,False,3473.8809037208557
0.0,5.5,6,basin64,4,110006,1.001383064524247,0.43396031512367017,130.7545251548802,,,4000,False,True,False,False,3473.8809037208557
0.0,5.5,6,basin64,5,110006,1.00000874503013,0.43396031512367017,130.43783271867778,,,4000,False,True,False,False,3473.8809037208557
0.0,5.5,6,basin64,6,110006,0.9946954984711975,0.43396031512367017,129.21347040402273,,,4000,False,True,False,False,3473.8809037208557
0.0,5.5,6,basin64,7,110006,1.0000010218311735,0.43396031512367017,130.4360530170121,,,3789,True,False,False,False,3473.8809037208557
0.0,5.5,6,basin64,8,110006,0.7165317452422182,0.43396031512367017,65.11457851578449,,,4000,False,True,False,False,3473.8809037208557
0.0,5.5,6,basin64,9,110006,1.0000905046217299,0.43396031512367017,130.4566730570107,,,4000,False,True,False,False,3473.8809037208557
0.0,5.5,6,basin64,10,110006,0.9607020235519024,0.43396031512367017,121.3801562196122,,,4000,False,True,False,False,3473.8809037208557
0.0,5.5,6,basin64,11,110006,1.0000010222930587,0.43396031512367017,130.436053123447,,,3934,True,False,False,False,3473.8809037208557
0.0,5.5,6,basin64,12,110006,1.0025683810158665,0.43396031512367017,131.02766452968268,,,4000,False,True,False,False,3473.8809037208557
