p,K,K_index,restart_id,init_mode,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,warm_won
0.01,5.75,7,3,random,140702,5.965172981395211,0.9999999999999851,496.51729813953,0.7765820580488966,0.27328402837947435,4000,False,True,False,True,False
0.01,6.0,8,0,warm,,6.205162620593053,0.9999999999999979,520.5162620593065,0.7765824935674082,0.2732822715112316,4000,False,True,False,True,True
0.01,6.0,8,1,random,140800,6.830521531286072,0.9999999999999979,583.0521531286087,0.7765297242008841,0.2711295554394682,4000,False,True,False,False,True
0.01,6.0,8,2,random,140801,6.969482547719806,0.9999999999999979,596.948254771982,0.7765021492581633,0.27200873645254675,4000,False,True,False,False,True
0.01,6.0,8,3,random,140802,7.2991343613653,0.9999999999999979,629.9134361365315,0.7765226601137813,0.23924561270972144,4000,False,True,False,False,True
0.01,6.25,9,0,warm,,6.445485977809062,1.0000000000000062,544.5485977809022,0.776583140237378,0.2732781087799927,4000,False,True,False,False,False
0.01,6.25,9,1,random,140900,7.365742956656129,1.0000000000000062,636.5742956656084,0.7765165783692425,0.2393110763484028,4000,False,True,False,False,False
0.01,6.25,9,2,random,140901,6.8687367437016125,1.0000000000000062,586.873674370157,0.7765951883639559,0.25540809246265445,4000,False,True,False,False,False
0.01,6.25,9,3,random,140902,6.4304387178960365,1.0000000000000062,543.0438717895996,0.7766267432864669,0.2731013112255673,4000,False,True,False,True,False
0.01,6.5,10,0,warm,,6.670679963985913,1.0000000000000075,567.0679963985864,0.7766261442059378,0.27311198465617065,4000,False,True,False,True,True
0.01,6.5,10,1,random,141000,7.933176829455462,1.0000000000000075,693.3176829455402,0.7745912534592878,0.2518554598166607,4000,False,True,False,False,True
0.01,6.5,10,2,random,141001,7.390042625455512,1.0000000000000075,639.0042625455455,0.7766035485289766,0.255248557917566,4000,False,True,False,False,True
0.01,6.5,10,3,random,141002,7.420650389948435,1.0000000000000075,642.0650389948379,0.7764915908172731,0.27188218465051206,4000,False,True,False,False,True
0.01,6.75,11,0,warm,,6.911102111263104,1.0000000000000249,591.1102111262932,0.7766258909193516,0.2731141968082926,4000,False,True,False,True,True
0.01,6.75,11,1,random,141100,7.323810131872907,1.0000000000000249,632.3810131872725,0.7765495598956083,0.25609484713235614,4000,False,True,False,False,True
0.01,6.75,11,2,random,141101,8.046884276922059,1.0000000000000249,704.6884276921859,0.7760381940742396,0.24059405550885843,4000,False,True,False,False,True
0.01,6.75,11,3,random,141102,7.372387245724871,1.0000000000000249,637.2387245724689,0.77657118634963,0.24046140644946093,4000,False,True,False,False,True
0.01,7.0,12,0,warm,,7.151538841595422,1.0000000000000147,615.1538841595317,0.7766256867210078,0.27311559868032254,4000,False,True,False,True,True
0.01,7.0,12,1,random,141200,7.922707574596393,1.0000000000000147,692.2707574596277,0.7765094019180115,0.2716431702937495,4000,False,True,False,False,True
0.01,7.0,12,2,random,141201,8.424226890226103,1.0000000000000147,742.4226890225981,0.7765421907019106,0.25454735346163265,4000,False,True,False,False,True
0.01,7.0,12,3,random,141202,8.43355253730592,1.0000000000000147,743.3552537305796,0.7765396961360734,0.25460310205290826,4000,False,True,False,False,True
