p,K,K_index,direction,restart_id,init_mode,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,warm_won
0.0,5.75,7,down,3,random,150502,1.013768693849093,0.9999999999999998,1.3768693849093299,0.9912760089552584,-2.783214738372093e-16,4000,False,True,False,False,True
0.0,5.5,6,down,0,warm,,1.000000038104604,0.43396031512367017,130.43582633117583,2.228566699912091e-09,1.0694570229316244e-15,201,True,False,False,False,False
0.0,5.5,6,down,1,random,150600,0.44006974136198873,0.43396031512367017,1.407830629991476,0.9997652449341472,-4.945046108706392e-16,4000,False,True,False,True,False
0.0,5.5,6,down,2,random,150601,1.0005328790663972,0.43396031512367017,130.55861197383106,5.745433236049356e-05,-7.476671681047641e-16,4000,False,True,False,False,False
0.0,5.5,6,down,3,random,150602,1.0000027787003358,0.43396031512367017,130.43645786259387,2.7069086580709884e-08,-5.31692738562652e-16,3709,True,False,False,False,False
0.0,5.25,5,down,0,warm,,-1.5599922300314475,-1.566039684876273,0.3861622986459173,0.9998743606349488,-9.651025639155205e-16,1082,True,False,False,True,True
0.0,5.25,5,down,1,random,150700,1.0004070421329851,-1.566039684876273,163.88133402966884,0.0009828959509246926,-5.113495550926861e-17,4000,False,True,False,False,True
0.0,5.25,5,down,2,random,150701,1.0000310759410769,-1.566039684876273,163.85732657982328,7.972248216421102e-06,-1.595948178702174e-16,2352,True,False,False,False,True
0.0,5.25,5,down,3,random,150702,1.0000069574017352,-1.566039684876273,163.8557864822399,1.5108928337611985e-07,-1.143616455673614e-15,4000,False,True,False,False,True
0.0,5.0,4,down,0,warm,,-3.559992214777727,-3.566039684876202,0.16958504764045812,0.9998743716899474,4.660443038784372e-16,186,True,False,False,True,True
0.0,5.0,4,down,1,random,150800,-3.5599912456423244,-3.566039684876202,0.16961222443848156,0.9998742302200015,-3.865180744910826e-16,3727,True,False,False,False,True
0.0,5.0,4,down,2,random,150801,-3.558202314007383,-3.566039684876202,0.21977800477257348,0.9996632989426707,1.6263138466401047e-17,4000,False,True,False,False,True
0.0,5.0,4,down,3,random,150802,-3.5571093714963444,-3.566039684876202,0.25042664044742746,0.9998048932127369,-2.1998462079730907e-16,4000,False,True,False,False,True
0.0,4.75,3,down,0,warm,,-5.559992455990356,-5.566039684876388,0.10864509109524785,0.9998744109321722,-7.129713486264681e-16,259,True,False,False,True,True
0.0,4.75,3,down,1,random,150900,-5.559891105492969,-5.566039684876388,0.11046596380052082,0.9998723856859506,-4.528712474471955e-16,2826,True,False,False,False,True
0.0,4.75,3,down,2,random,150901,-5.559942529996569,-5.566039684876388,0.10954206626275922,0.9998692109267479,4.409992320041181e-16,4000,False,True,False,False,True
0.0,4.75,3,down,3,random,150902,-5.559981870549565,-5.566039684876388,0.10883527013438297,0.9998741938415415,-1.1877434799578713e-15,4000,False,True,False,False,True
0.0,4.5,2,down,0,warm,,-7.559992466825314,-7.566039684876383,0.07992580402607469,0.9998744065979539,-5.663872148741162e-16,183,True,False,False,True,True
0.0,4.5,2,down,1,random,151000,-7.557895021698903,-7.566039684876383,0.1076476402015174,0.9996772864830421,-1.0098258902181098e-15,4000,False,True,False,False,True
0.0,4.5,2,down,2,random,151001,-7.559901871296253,-7.566039684876383,0.08112320098451209,0.9998722015963146,-1.2136559107429013e-15,4000,False,True,False,False,True
0.0,4.5,2,down,3,random,151002,-7.559182137894782,-7.566039684876383,0.09063588438888158,0.9998579609257645,-1.5742615544489537e-16,4000,False,True,False,False,True
0.0,4.25,1,down,0,warm,,-9.559992505034021,-9.566039684876388,0.06321508211938279,0.9998744105839577,-5.980459183430044e-16,183,True,False,False,True,True
0.0,4.25,1,down,1,random,151100,-9.559906747851333,-9.566039684876388,0.06411155741651144,0.9998727141846361,-4.887583393564656e-16,4000,False,True,False,False,True
