p,K,E_lam1,E_lam2,E_lam3,E_mit_linear,E_exact,a,b,c,E_lam0,residual_floor
0.005,1.0,-26.76588958036122,-25.317321818546823,-23.15038555889647,-28.57364159109359,-35.56603968487625,1126245.348585908,-1126274.0419456584,0.9999983949297282,-28.693359750322998,6.872679934553254
0.005,2.0,-17.622155938443846,-16.4795567686932,-14.324699126394972,-19.270884344468286,-27.566039684876344,758342.1699771702,-758361.6095924801,0.9999978259228715,-19.439615309936926,8.126424374939418
0.005,3.0,-9.688107804616909,-8.332996462558185,-6.148521425701718,-11.457900994074503,-19.566039684876287,1092926.215814478,-1092937.8119287612,0.999998380705577,-11.596114283194765,7.969925401681522
0.005,4.0,-2.323260734021539,-0.7965719482438994,1.122283913174698,-4.046033057619658,-11.56603968487638,983760.5138741315,-983764.6252819162,0.9999982487872972,-4.111407784745097,7.454631900131282
0.005,5.0,2.8143354372552816,3.427142492893706,5.141988878275384,1.6505087167452306,-3.566039684876202,598950.1396379189,-598948.6728129049,0.9999980568756499,1.4668250139802694,5.032864698856471
0.005,6.0,3.211777974979195,4.066142788650748,6.069162161955108,1.7830858814912376,0.9999999999999948,899419.1919659532,-899417.6003056306,0.9999984115465315,1.5916603226214647,0.59166032262147
0.005,7.0,3.719611359768285,4.841344781154387,6.980761135490368,2.0890364719072436,0.9999999999999978,1126003.566180027,-1126001.6467766538,0.9999985518823387,1.9194033732637763,0.9194033732637785
0.005,8.0,3.9954986143314097,5.36496952561572,7.916906328227838,2.0347947573831955,1.0000000000000138,1328880.1021436108,-1328878.2644450217,0.9999985245379606,1.837698589079082,0.8376985890790682
0.005,9.0,4.470364995047125,5.9974295497478005,8.831700933673018,2.2896970257341787,1.000000000000004,1072246.7471133387,-1072244.6753199524,0.9999979662431191,2.071793386247009,1.071793386247005
0.005,10.0,4.813161653854607,6.608428609439819,9.758623813123448,2.3404305742201865,1.0000000000000429,1401170.0319484384,-1401167.917373192,0.9999982352297785,2.114575246348977,1.1145752463489342
0.005,11.0,5.18675408116022,7.202169241830901,10.710961816749313,2.424650213365674,0.9999999999999576,1711112.8708198955,-1711110.6950096388,0.9999983857977686,2.1758102567400783,1.1758102567401207
0.005,12.0,5.616696786249342,7.835503811459531,11.614212872139795,2.6179387433041157,0.9999999999999708,2098904.1857238,-2098901.8277831767,0.9999985712730953,2.357940623536706,1.3579406235367353
0.005,13.0,5.974453358014296,8.508638125726858,12.52600458622078,2.6986777439110545,0.9999999999999852,2376021.915989137,-2376019.464538137,0.9999986213140564,2.451450999826193,1.4514509998262075
0.005,14.0,6.373210241884336,9.247655315614152,13.47355269713291,2.8230390142600488,1.000000000000024,1529485.160960171,-1529482.5632321828,0.9999976788203683,2.597727988148108,1.5977279881480841
0.005,15.0,6.763299142391684,9.700131262504131,14.42400142127607,2.932948002949491,0.9999999999999768,2259456.340535919,-2259453.705495919,0.9999983047302916,2.6350400000810623,1.6350400000810854
0.005,16.0,7.186688644716445,10.490563531551125,15.307439519358413,3.1263132073954614,1.0000000000000222,2015321.9403076447,-2015319.066185955,0.9999979852406107,2.8741216897033155,1.8741216897032933
0.01,-16.0,-370.21828654487246,-363.56575115215486,-351.9759702381263,-379.33944469824553,-382.9999999999999,4852235.627469065,-4852615.789747622,0.9999981203644004,-380.16227855719626,2.837721442803627
0.01,-15.0,-346.4508335702092,-340.89753228623283,-330.03506622432127,-354.6587172431532,-358.99999999999966,4573594.19461678,-4573949.738105562,0.9999982055227234,-355.5434887818992,3.456511218100445
0.01,-14.0,-324.32807505356493,-318.21564316993795,-308.094661207097,-332.44478197679894,-335.0000000000001,4567252.689987736,-4567585.80311046,0.9999982229530309,-333.11312272399664,1.8868772760034744
0.01,-13.0,-300.9428703543464,-295.542758989816,-286.1542940408112,-308.337158511114,-311.0,4824278.166274333,-4824587.168049569,0.9999984673836302,-309.001775235869,1.9982247641310096
0.01,-12.0,-277.9859319258184,-272.86491476712644,-263.3329292123127,-285.31243328257125,-286.9999999999998,4850674.648283594,-4850960.696208361,0.9999984896515657,-286.047924766317,0.9520752336827627
0.01,-11.0,-254.86011712743712,-250.18641641725395,-242.27392906462703,-261.15321115884217,-262.9999999999997,4360046.385428349,-4360308.078305045,0.9999985567453182,-261.6928766965866,1.307123303413107
0.01,-10.0,-231.3604678838238,-227.5117219288118,-219.4812083182037,-237.30009766663386,-239.00000000000009,4376978.492579617,-4377216.489757579,0.9999986430471473,-237.99717796221375,1.0028220377863306
0.01,-9.0,-208.46092461219763,-204.83428588190316,-198.39431194199693,-213.49423094729795,-214.99999999999991,3276698.8706428213,-3276912.8338419907,0.9999984639960671,-213.963199169375,1.0368008306249124
0.01,-8.0,-185.29790807797488,-182.15690958368944,-176.45479311435753,-189.71946555978357,-190.9999999999999,3002438.6210488407,-3002628.767443056,0.9999985274283469,-190.1463942155242,0.8536057844756897
0.01,-7.0,-162.06882222876456,-159.47955383445023,-154.5154744836969,-165.84549610129838,-167.00000000000009,2373333.3404646222,-2373499.581694965,0.9999984088288381,-166.24123034253716,0.7587696574629206
0.01,-6.0,-138.61557426552417,-136.80222428191828,-132.57635702301377,-141.63518288677938,-143.00000000000028,1517753.0527728014,-1517895.0901481626,0.9999980106297717,-142.03737536119297,0.9626246388073127
0.01,-5.0,-117.63430681007316,-114.59341199234852,-110.63744230134942,-121.13273906443501,-123.56603968487644,1708233.3890251783,-1708354.6743486132,0.9999979521389628,-121.285323434975,2.2807162499014453
0.01,-4.0,-101.78098682768588,-98.59074968343182,-93.74663144668156,-105.79816451818805,-107.56603968487642,2176662.32549116,-2176768.3992198166,0.9999981545371783,-106.07372865639627,1.4923110284801453
0.01,-3.0,-85.9208806270231,-82.62275996556224,-78.00675728307318,-89.87794229899805,-91.56603968487632,2544123.826653583,-2544213.9242798593,0.9999984446762893,-90.09762627631426,1.468413408562057
0.01,-2.0,-69.90716619672793,-66.72350873865544,-61.96874800699642,-73.87637529159369,-75.5660396848763,2765001.686852961,-2765075.825172075,0.9999985645037577,-74.13831911422312,1.4277205706531788
0.01,-1.0,-54.184532411452736,-50.75712276567536,-46.63657046496852,-57.958513384694854,-59.56603968487627,2045860.5319052227,-2045918.6059300713,0.999998155361876,-58.074024848639965,1.492014836236308
0.01,0.0,-38.40654237420296,-35.38466213158651,-30.39992549893828,-42.4098508118353,-43.56603968487643,2466406.026904188,-2466448.764015235,0.9999983768716108,-42.737111046910286,0.8289286379661434
0.01,1.0,-24.861508257423445,-22.51260825932694,-18.661608292208197,-27.961458240031064,-35.56603968487625,2153694.108579321,-2153722.320338959,0.9999985606624091,-28.211759638041258,7.354280046834994
0.01,2.0,-15.969343870184526,-13.614119189095128,-9.900723200832502,-19.00365420486054,-27.566039684876344,2123511.0831518616,-2123530.3131693876,0.9999985710998431,-19.230017526075244,8.3360221588011
0.01,3.0,-7.8629152359734515,-5.356402989712478,-1.5403304630233463,-11.024207622448504,-19.566039684876287,1744413.109286929,-1744424.3517166092,0.9999981877819986,-11.24242968019098,8.323610004685307
0.01,4.0,-0.5372634799293776,2.2601582339515995,5.655815986625616,-3.6338032132068747,-11.56603968487638,1895373.961127811,-1895377.6946194614,0.9999983662711316,-3.7334916503168643,7.832548034559515
0.01,5.0,3.993289289437034,5.306450606468388,8.577543724464054,1.701162071923525,-3.566039684876202,1955901.2085723195,-1955899.8336679402,0.9999988281122364,1.374904379248619,4.940944064124821
0.01,6.0,4.644375195505043,7.129751267243181,10.2440268409218,1.8445493727966653,0.9999999999999948,1564371.5087944856,-1564369.76905506,0.9999982102531201,1.7397394254803658,0.739739425480371
0.01,7.0,5.3199268126539,7.7577480912524495,11.92759197332913,2.016094232316285,0.9999999999999978,2223424.9540550243,-2223423.2267059693,0.9999985140650847,1.7273490549996495,0.7273490549996517
