p,K,K_index,lambda,n_CX,restart,seed,energy,E_exact,err_pct,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.005,-14.0,2,1,20,0,20021,-327.930353737378,-335.0000000000001,2.110342167946891,2000,False,True,False,False,381.42039799690247
0.005,-14.0,2,1,20,1,20021,-328.20364956680095,-335.0000000000001,2.0287613233430335,2000,False,True,False,False,381.42039799690247
0.005,-14.0,2,1,20,2,20021,-327.7870555547093,-335.0000000000001,2.1531177448629295,2000,False,True,False,False,381.42039799690247
0.005,-14.0,2,1,20,3,20021,-328.05644394801845,-335.0000000000001,2.0727032990990018,2000,False,True,False,False,381.42039799690247
0.005,-14.0,2,1,20,4,20021,-327.530323402507,-335.0000000000001,2.2297542082068964,2000,False,True,False,False,381.42039799690247
0.005,-14.0,2,1,20,5,20021,-328.30248660378504,-335.0000000000001,1.9992577302134538,2000,False,True,False,False,381.42039799690247
0.005,-14.0,2,1,20,6,20021,-328.615790189079,-335.0000000000001,1.9057342719167476,2000,False,True,False,True,381.42039799690247
0.005,-14.0,2,1,20,7,20021,-327.85477134944705,-335.0000000000001,2.132904074791959,2000,False,True,False,False,381.42039799690247
0.005,-12.0,4,1,20,0,20041,-281.1367609633132,-286.9999999999998,2.0429404309012535,2000,False,True,False,False,388.3203070163727
0.005,-12.0,4,1,20,1,20041,-281.0134209587339,-286.9999999999998,2.085916042252923,2000,False,True,False,False,388.3203070163727
0.005,-12.0,4,1,20,2,20041,-281.5574974542379,-286.9999999999998,1.8963423504396868,2000,False,True,False,False,388.3203070163727
0.005,-12.0,4,1,20,3,20041,-280.5452959415086,-286.9999999999998,2.2490258043523323,2000,False,True,False,False,388.3203070163727
0.005,-12.0,4,1,20,4,20041,-281.1020589780001,-286.9999999999998,2.0550317149824604,2000,False,True,False,False,388.3203070163727
0.005,-12.0,4,1,20,5,20041,-280.92533355778556,-286.9999999999998,2.1166085164509454,2000,False,True,False,False,388.3203070163727
0.005,-12.0,4,1,20,6,20041,-280.9643603753091,-286.9999999999998,2.103010322191864,2000,False,True,False,False,388.3203070163727
0.005,-12.0,4,1,20,7,20041,-281.5893831175004,-286.9999999999998,1.8852323632401995,2000,False,True,False,True,388.3203070163727
0.005,-10.0,6,1,20,0,20061,-233.67977559951325,-239.00000000000006,2.226035314011216,2000,False,True,False,False,388.2485899925232
0.005,-10.0,6,1,20,1,20061,-234.24656649582786,-239.00000000000006,1.9888843113691181,2000,False,True,False,False,388.2485899925232
0.005,-10.0,6,1,20,2,20061,-233.7811653585903,-239.00000000000006,2.1836128206735377,2000,False,True,False,False,388.2485899925232
0.005,-10.0,6,1,20,3,20061,-234.27179799136587,-239.00000000000006,1.9783272002653487,2000,False,True,False,False,388.2485899925232
0.005,-10.0,6,1,20,4,20061,-233.6378319336953,-239.00000000000006,2.243584964981065,2000,False,True,False,False,388.2485899925232
0.005,-10.0,6,1,20,5,20061,-233.93887585914675,-239.00000000000006,2.117625163536949,2000,False,True,False,False,388.2485899925232
0.005,-10.0,6,1,20,6,20061,-233.9917555167068,-239.00000000000006,2.0954997838047085,2000,False,True,False,False,388.2485899925232
0.005,-10.0,6,1,20,7,20061,-234.29651352555055,-239.00000000000006,1.9679859725730144,2000,False,True,False,True,388.2485899925232
0.005,-11.0,5,1,20,0,20051,-257.2408383944222,-262.9999999999997,2.1897952872918287,2000,False,True,False,False,390.09290409088135
0.005,-11.0,5,1,20,1,20051,-257.07792407163805,-262.9999999999997,2.2517398967154643,2000,False,True,False,False,390.09290409088135
0.005,-11.0,5,1,20,2,20051,-257.23527655545394,-262.9999999999997,2.191910054960375,2000,False,True,False,False,390.09290409088135
0.005,-11.0,5,1,20,3,20051,-256.86718188333344,-262.9999999999997,2.331870006336988,2000,False,True,False,False,390.09290409088135
0.005,-11.0,5,1,20,4,20051,-257.77430620186504,-262.9999999999997,1.9869558167812458,2000,False,True,False,False,390.09290409088135
0.005,-11.0,5,1,20,5,20051,-257.1493159558186,-262.9999999999997,2.224594693604981,2000,False,True,False,False,390.09290409088135
0.005,-11.0,5,1,20,6,20051,-257.87398033634656,-262.9999999999997,1.9490569063319994,2000,False,True,False,True,390.09290409088135
0.005,-11.0,5,1,20,7,20051,-256.58951917137347,-262.9999999999997,2.437445181987169,2000,False,True,False,False,390.09290409088135
0.005,-13.0,3,1,20,0,20031,-305.09056718376735,-311.0,1.9001391692066403,2000,False,True,False,False,397.2034606933594
0.005,-13.0,3,1,20,1,20031,-304.57459355912266,-311.0,2.0660470870988226,2000,False,True,False,False,397.2034606933594
0.005,-13.0,3,1,20,2,20031,-305.0554391342275,-311.0,1.911434361984718,2000,False,True,False,False,397.2034606933594
0.005,-13.0,3,1,20,3,20031,-304.74486714968106,-311.0,2.0112967364369596,2000,False,True,False,False,397.2034606933594
0.005,-13.0,3,1,20,4,20031,-304.0633407516093,-311.0,2.2304370573603527,2000,False,True,False,False,397.2034606933594
0.005,-13.0,3,1,20,5,20031,-304.5774375646992,-311.0,2.0651326158523444,2000,False,True,False,False,397.2034606933594
0.005,-13.0,3,1,20,6,20031,-305.250461015703,-311.0,1.8487263615102816,2000,False,True,False,True,397.2034606933594
0.005,-13.0,3,1,20,7,20031,-304.49834633431334,-311.0,2.0905638796420134,2000,False,True,False,False,397.2034606933594
0.005,-14.0,2,2,40,0,20022,-325.62203046369353,-335.0000000000001,2.799393891434799,2000,False,True,False,False,433.7858033180237
0.005,-14.0,2,2,40,1,20022,-325.6171637106194,-335.0000000000001,2.800846653546474,2000,False,True,False,False,433.7858033180237
0.005,-14.0,2,2,40,2,20022,-325.54592550238334,-335.0000000000001,2.822111790333364,2000,False,True,False,False,433.7858033180237
0.005,-14.0,2,2,40,3,20022,-325.64158158633035,-335.0000000000001,2.79355773542381,2000,False,True,False,True,433.7858033180237
0.005,-14.0,2,2,40,4,20022,-324.16597365052684,-335.0000000000001,3.2340377162606786,2000,False,True,False,False,433.7858033180237
0.005,-14.0,2,2,40,5,20022,-321.364340093805,-335.0000000000001,4.070346240655249,2000,False,True,False,False,433.7858033180237
0.005,-14.0,2,2,40,6,20022,-321.17512072210604,-335.0000000000001,4.126829635192259,2000,False,True,False,False,433.7858033180237
0.005,-14.0,2,2,40,7,20022,-321.8750303326262,-335.0000000000001,3.9179013932459483,2000,False,True,False,False,433.7858033180237
0.005,-15.0,1,2,40,0,20012,-343.99696105851274,-358.99999999999966,4.179119482308338,2000,False,True,False,False,434.65776801109314
0.005,-15.0,1,2,40,1,20012,-344.93785704232647,-358.99999999999966,3.917031464532925,2000,False,True,False,False,434.65776801109314
0.005,-15.0,1,2,40,2,20012,-346.0268862540403,-358.99999999999966,3.6136807091808896,2000,False,True,False,False,434.65776801109314
0.005,-15.0,1,2,40,3,20012,-348.02408827090983,-358.99999999999966,3.057357027601627,2000,False,True,False,True,434.65776801109314
0.005,-15.0,1,2,40,4,20012,-346.1589189666314,-358.99999999999966,3.576902794810102,2000,False,True,False,False,434.65776801109314
0.005,-15.0,1,2,40,5,20012,-346.06030788923994,-358.99999999999966,3.6043710614929623,2000,False,True,False,False,434.65776801109314
0.005,-15.0,1,2,40,6,20012,-345.7512103081949,-358.99999999999966,3.6904706662408797,2000,False,True,False,False,434.65776801109314
0.005,-15.0,1,2,40,7,20012,-345.8212879220352,-358.99999999999966,3.670950439544422,2000,False,True,False,False,434.65776801109314
0.005,-16.0,0,2,40,0,20002,-372.1081727454888,-382.9999999999999,2.8438191265042043,2000,False,True,False,True,435.2728955745697
0.005,-16.0,0,2,40,1,20002,-368.9973676221255,-382.9999999999999,3.6560397853457873,2000,False,True,False,False,435.2728955745697
0.005,-16.0,0,2,40,2,20002,-371.641126646399,-382.9999999999999,2.965763277702578,2000,False,True,False,False,435.2728955745697
0.005,-16.0,0,2,40,3,20002,-367.2588330114384,-382.9999999999999,4.109965271164877,2000,False,True,False,False,435.2728955745697
