p,K,K_index,direction,restart_id,init_mode,seed,energy,E_exact,err_pct,fidelity,Q_tot2,n_iter,converged,hit_maxiter,diverged,is_best,warm_won
0.0,4.5,2,up,1,random,130200,-7.559992391803437,-7.566039684876383,0.07992679558678326,0.9998743932678322,-2.7278526659089086e-16,1981,True,False,False,False,True
0.0,4.5,2,up,2,random,130201,-7.559990000511232,-7.566039684876383,0.07995840118634044,0.9998743493250476,-1.6420241907462868e-16,3997,True,False,False,False,True
0.0,4.5,2,up,3,random,130202,-7.559992105390413,-7.566039684876383,0.07993058109460364,0.9998743797792667,-4.705437428587093e-16,2946,True,False,False,False,True
0.0,4.75,3,up,0,warm,,-5.559992618903987,-5.566039684876388,0.10864216417341017,0.9998744169585045,4.902762223979453e-16,191,True,False,False,True,True
0.0,4.75,3,up,1,random,130300,-0.5743861524200018,-5.566039684876388,89.6805235869827,0.5440578960589266,-9.663493963363309e-16,4000,False,True,False,False,True
0.0,4.75,3,up,2,random,130301,-5.5585738826872415,-5.566039684876388,0.1341313143963302,0.9997157595593283,-9.480806029648397e-16,4000,False,True,False,False,True
0.0,4.75,3,up,3,random,130302,-5.5578908142069325,-5.566039684876388,0.14640338788091115,0.9998208372846256,-9.746977530644675e-17,4000,False,True,False,False,True
0.0,5.0,4,up,0,warm,,-3.559992665013608,-3.566039684876202,0.16957242198508665,0.9998744159322711,-3.0813025742038056e-16,177,True,False,False,True,True
0.0,5.0,4,up,1,random,130400,-3.558055534005194,-3.566039684876202,0.223894055494374,0.9996903307184554,-9.590852417806776e-16,4000,False,True,False,False,True
0.0,5.0,4,up,2,random,130401,-3.559992064924897,-3.566039684876202,0.16958924986038237,0.9998743431681691,-5.94142790522057e-16,2950,True,False,False,False,True
0.0,5.0,4,up,3,random,130402,-3.5599921599213764,-3.566039684876202,0.16958658593939532,0.9998743691908805,-1.0299920645074715e-17,3644,True,False,False,False,True
0.0,5.25,5,up,0,warm,,-1.5599926645095579,-1.566039684876273,0.38613455489749415,0.999874415932271,-3.0813025742038056e-16,177,True,False,False,True,True
0.0,5.25,5,up,1,random,130500,1.000005765317254,-1.566039684876273,163.85571036127737,3.892015387178554e-07,-9.636389041400065e-16,4000,False,True,False,False,True
0.0,5.25,5,up,2,random,130501,1.0012400129529908,-1.566039684876273,163.93452366643538,8.374506981922492e-05,1.270723062603326e-16,4000,False,True,False,False,True
0.0,5.25,5,up,3,random,130502,1.0024921677516456,-1.566039684876273,164.0144804396096,0.01029587230428165,-5.251282367369483e-16,4000,False,True,False,False,True
0.0,5.5,6,up,0,warm,,0.44000733300592687,0.43396031512367017,1.3934495094403778,0.9998744169430835,-6.261267546103792e-16,178,True,False,False,True,True
0.0,5.5,6,up,1,random,130600,0.5978476657314198,0.43396031512367017,37.7655156234839,0.727044047536133,1.7997756063259383e-16,4000,False,True,False,False,True
0.0,5.5,6,up,2,random,130601,1.0000538524410827,0.43396031512367017,130.44822708179825,1.032186783933633e-06,5.381980361767825e-16,4000,False,True,False,False,True
0.0,5.5,6,up,3,random,130602,1.0000903146851652,0.43396031512367017,130.4566292888231,2.9208076733650733e-05,-6.565934709319322e-16,4000,False,True,False,False,True
0.0,5.75,7,up,0,warm,,2.440007330799365,0.9999999999999998,144.00073307993654,3.1379790259300915e-11,7.415942859821049e-17,178,True,False,False,False,False
0.0,5.75,7,up,1,random,130700,1.0007751684605544,0.9999999999999998,0.07751684605545875,0.9999079670413226,-1.3235934695398228e-15,4000,False,True,False,False,False
0.0,5.75,7,up,2,random,130701,1.0000899513674057,0.9999999999999998,0.008995136740597156,0.9999930744260483,-5.416673855214238e-16,4000,False,True,False,False,False
0.0,5.75,7,up,3,random,130702,1.0000000991623819,0.9999999999999998,9.916238208340648e-06,0.9999999788094165,4.566659543529611e-16,1685,True,False,False,True,False
0.0,6.0,8,up,0,warm,,1.0000001186816365,0.9999999999999949,1.1868164162542943e-05,0.9999999818556662,-6.756747930140871e-16,201,True,False,False,True,True
0.0,6.0,8,up,1,random,130800,1.0000011721745499,0.9999999999999949,0.00011721745549753197,0.9999998189589479,1.83447014822378e-16,2575,True,False,False,False,True
0.0,6.0,8,up,2,random,130801,1.0000192821415907,0.9999999999999949,0.0019282141595855604,0.9999983059258564,-9.38485456751734e-16,4000,False,True,False,False,True
0.0,6.0,8,up,3,random,130802,1.0000002191628705,0.9999999999999949,2.191628756254016e-05,0.9999999912532098,-7.611099245678366e-16,1158,True,False,False,False,True
0.0,6.25,9,up,0,warm,,1.0000001334211426,1.0000000000000142,1.3342112836767038e-05,0.99999998514927,-9.562663163648599e-16,196,True,False,False,True,True
0.0,6.25,9,up,1,random,130900,1.000025191568627,1.0000000000000142,0.002519156861269209,0.9999985241354062,7.372579901421243e-17,4000,False,True,False,False,True
0.0,6.25,9,up,2,random,130901,1.0000003318274988,1.0000000000000142,3.3182748460091696e-05,0.9999999779304145,4.336808804971817e-17,1208,True,False,False,False,True
0.0,6.25,9,up,3,random,130902,1.0000192006298887,1.0000000000000142,0.0019200629874482624,0.9999991113492596,-1.1501216778075133e-15,4000,False,True,False,False,True
0.0,6.5,10,up,0,warm,,1.0000001328918386,1.0000000000000053,1.3289183331543981e-05,0.9999999905170702,3.1441862999817846e-16,198,True,False,False,True,True
0.0,6.5,10,up,1,random,131000,1.0000022971244538,1.0000000000000053,0.0002297124448435982,0.9999999443476144,-1.4619382077154004e-15,3074,True,False,False,False,True
0.0,6.5,10,up,2,random,131001,1.0001230180601017,1.0000000000000053,0.012301806009640193,0.999989476970608,-7.546042951508843e-16,4000,False,True,False,False,True
0.0,6.5,10,up,3,random,131002,1.0000010864102995,1.0000000000000053,0.00010864102941709973,0.9999999516886505,1.3444106887121615e-17,1536,True,False,False,False,True
0.0,6.75,11,up,0,warm,,1.0000000722935058,0.9999999999999973,7.22935085128997e-06,0.9999999946536037,-3.2742905572226867e-16,206,True,False,False,True,True
0.0,6.75,11,up,1,random,131100,1.0000001013291537,0.9999999999999973,1.0132915639893297e-05,0.9999999969548721,8.803721665139249e-17,1609,True,False,False,False,True
0.0,6.75,11,up,2,random,131101,1.0000150288910001,0.9999999999999973,0.0015028891002799624,0.999999242686836,-1.9094968740396882e-15,4000,False,True,False,False,True
0.0,6.75,11,up,3,random,131102,1.0007776312746968,0.9999999999999973,0.07776312746994328,0.9999740162153059,-2.3418859735341556e-16,4000,False,True,False,False,True
0.0,7.0,12,up,0,warm,,1.0000000475087705,0.9999999999999978,4.750877269366082e-06,0.9999999985779733,-6.470518565421772e-16,211,True,False,False,True,True
0.0,7.0,12,up,1,random,131200,1.0000008467013919,0.9999999999999978,8.467013941082532e-05,0.9999999593773361,-7.042977306003492e-16,2331,True,False,False,False,True
0.0,7.0,12,up,2,random,131201,1.0000097888377701,0.9999999999999978,0.000978883777236208,0.9999997720081835,8.283304639148275e-17,4000,False,True,False,False,True
0.0,7.0,12,up,3,random,131202,1.0000001353260726,0.9999999999999978,1.3532607479049858e-05,0.9999999965479083,-1.3699978650420177e-15,1043,True,False,False,False,True
